INDEX,DATE,TIME,PRICE
0,2020-12-27,17:10:33,27159.8
1,2020-12-27,17:10:34,27148.9
2,2020-12-27,17:10:35,27159.8
3,2020-12-27,17:10:36,27161.0
4,2020-12-27,17:10:37,27149.3
5,2020-12-27,17:10:38,27124.3
6,2020-12-27,17:10:39,27159.8
7,2020-12-27,17:10:40,27159.8
8,2020-12-27,17:10:41,27159.8
9,2020-12-27,17:10:42,27161.0
10,2020-12-27,17:10:43,27149.3
11,2020-12-27,17:10:44,27148.9
12,2020-12-27,17:10:45,27159.8
13,2020-12-27,17:10:46,27148.9
14,2020-12-27,17:10:47,27159.8
15,2020-12-27,17:10:48,27149.3
16,2020-12-27,17:10:49,27149.3
17,2020-12-27,17:10:50,27159.8
18,2020-12-27,17:10:51,27154.1
19,2020-12-27,17:10:52,27159.8
20,2020-12-27,17:10:53,27154.1
21,2020-12-27,17:10:54,27159.8
22,2020-12-27,17:10:55,27135.4
23,2020-12-27,17:10:56,27154.1
24,2020-12-27,17:10:57,27130.1
25,2020-12-27,17:10:58,27154.1
26,2020-12-27,17:10:59,27125.0
27,2020-12-27,17:11:01,27130.1
28,2020-12-27,17:11:02,27130.1
29,2020-12-27,17:11:04,27125.0
30,2020-12-27,17:11:05,27135.4
31,2020-12-27,17:11:06,27135.4
32,2020-12-27,17:11:07,27125.0
33,2020-12-27,17:11:08,27110.1
34,2020-12-27,17:11:09,27125.0
35,2020-12-27,17:11:10,27130.1
36,2020-12-27,17:11:11,27125.0
37,2020-12-27,17:11:12,27125.0
38,2020-12-27,17:11:13,27130.1
39,2020-12-27,17:11:14,27125.0
40,2020-12-27,17:11:15,27130.1
41,2020-12-27,17:11:16,27135.4
42,2020-12-27,17:11:17,27110.1
43,2020-12-27,17:11:18,27105.6
44,2020-12-27,17:11:19,27125.0
45,2020-12-27,17:11:20,27121.5
46,2020-12-27,17:11:21,27130.1
47,2020-12-27,17:11:22,27105.6
48,2020-12-27,17:11:23,27125.0
49,2020-12-27,17:11:24,27105.6
50,2020-12-27,17:11:25,27111.9
51,2020-12-27,17:11:26,27111.9
52,2020-12-27,17:11:27,27125.0
53,2020-12-27,17:11:28,27125.0
54,2020-12-27,17:11:29,27110.1
55,2020-12-27,17:11:29,27113.9
56,2020-12-27,17:11:30,27111.9
57,2020-12-27,17:11:32,27111.9
58,2020-12-27,17:11:32,27111.9
59,2020-12-27,17:11:33,27113.9
60,2020-12-27,17:11:34,27113.9
61,2020-12-27,17:11:35,27121.5
62,2020-12-27,17:11:36,27111.9
63,2020-12-27,17:11:37,27113.9
64,2020-12-27,17:11:38,27111.9
65,2020-12-27,17:11:39,27113.9
66,2020-12-27,17:11:41,27113.9
67,2020-12-27,17:11:42,27111.9
68,2020-12-27,17:11:43,27111.9
69,2020-12-27,17:11:44,27078.9
70,2020-12-27,17:11:45,27121.5
71,2020-12-27,17:11:46,27113.9
72,2020-12-27,17:11:47,27121.5
73,2020-12-27,17:11:48,27113.9
74,2020-12-27,17:11:48,27078.9
75,2020-12-27,17:11:49,27111.9
76,2020-12-27,17:11:50,27111.9
77,2020-12-27,17:11:51,27113.9
78,2020-12-27,17:11:52,27113.9
79,2020-12-27,17:11:53,27113.9
80,2020-12-27,17:11:54,27113.9
81,2020-12-27,17:11:55,27078.9
82,2020-12-27,17:11:56,27113.9
83,2020-12-27,17:11:57,27113.9
84,2020-12-27,17:11:58,27113.9
85,2020-12-27,17:11:59,27113.9
86,2020-12-27,17:12:00,27078.9
87,2020-12-27,17:12:01,27078.9
88,2020-12-27,17:12:02,27078.9
89,2020-12-27,17:12:03,27078.9
90,2020-12-27,17:12:04,27078.9
91,2020-12-27,17:12:05,27113.7
92,2020-12-27,17:12:06,27078.9
93,2020-12-27,17:12:07,27113.7
94,2020-12-27,17:12:08,27113.7
95,2020-12-27,17:12:09,27078.9
96,2020-12-27,17:12:10,27113.7
97,2020-12-27,17:12:11,27111.0
98,2020-12-27,17:12:12,27113.7
99,2020-12-27,17:12:12,27113.7
100,2020-12-27,17:12:13,27092.5
101,2020-12-27,17:12:14,27092.5
102,2020-12-27,17:12:15,27113.7
103,2020-12-27,17:12:16,27113.7
104,2020-12-27,17:12:17,27113.7
105,2020-12-27,17:12:18,27111.0
106,2020-12-27,17:12:19,27113.7
107,2020-12-27,17:12:20,27111.0
108,2020-12-27,17:12:21,27113.7
109,2020-12-27,17:12:22,27113.7
110,2020-12-27,17:12:23,27110.9
111,2020-12-27,17:12:24,27092.5
112,2020-12-27,17:12:25,27113.7
113,2020-12-27,17:12:26,27113.7
114,2020-12-27,17:12:27,27111.0
115,2020-12-27,17:12:28,27092.5
116,2020-12-27,17:12:29,27113.7
117,2020-12-27,17:12:30,27110.9
118,2020-12-27,17:12:31,27088.0
119,2020-12-27,17:12:32,27110.9
120,2020-12-27,17:12:33,27088.0
121,2020-12-27,17:12:34,27111.0
122,2020-12-27,17:12:35,27088.0
123,2020-12-27,17:12:36,27088.0
124,2020-12-27,17:12:37,27088.0
125,2020-12-27,17:12:38,27088.0
126,2020-12-27,17:14:11,27075.5
127,2020-12-27,17:14:12,27075.5
128,2020-12-27,17:14:13,27075.5
129,2020-12-27,17:14:14,27075.5
130,2020-12-27,17:14:15,27075.5
131,2020-12-27,17:14:16,27075.5
