,DATE,TIME,PRICE
0,2020-12-27,16:42:44,26881.0
1,2020-12-27,16:42:45,26878.0
2,2020-12-27,16:42:46,26876.6
3,2020-12-27,16:42:47,26876.6
4,2020-12-27,16:42:48,26876.6
5,2020-12-27,16:42:49,26881.0
6,2020-12-27,16:42:50,26876.6
7,2020-12-27,16:42:51,26876.6
8,2020-12-27,16:42:52,26881.0
9,2020-12-27,16:42:53,26878.0
10,2020-12-27,16:42:53,26881.0
11,2020-12-27,16:42:54,26895.7
12,2020-12-27,16:42:55,26881.0
13,2020-12-27,16:42:56,26881.0
14,2020-12-27,16:42:57,26895.7
15,2020-12-27,16:42:58,26895.7
16,2020-12-27,16:42:59,26881.0
17,2020-12-27,16:43:00,26881.0
18,2020-12-27,16:43:01,26881.0
19,2020-12-27,16:43:02,26881.0
20,2020-12-27,16:43:03,26901.3
21,2020-12-27,16:43:04,26895.7
22,2020-12-27,16:43:05,26901.3
23,2020-12-27,16:43:06,26895.7
24,2020-12-27,16:43:07,26881.0
25,2020-12-27,16:43:08,26901.3
26,2020-12-27,16:43:09,26901.3
27,2020-12-27,16:43:10,26895.7
28,2020-12-27,16:43:11,26901.3
29,2020-12-27,16:43:12,26901.3
30,2020-12-27,16:43:13,26901.3
31,2020-12-27,16:43:14,26895.7
32,2020-12-27,16:43:15,26895.7
33,2020-12-27,16:43:16,26901.3
34,2020-12-27,16:43:17,26895.7
35,2020-12-27,16:43:18,26895.7
36,2020-12-27,16:43:19,26895.7
37,2020-12-27,16:43:20,26901.3
38,2020-12-27,16:43:22,26901.3
39,2020-12-27,16:43:23,26901.3
40,2020-12-27,16:43:24,26901.3
41,2020-12-27,16:43:25,26901.3
42,2020-12-27,16:43:26,26941.6
43,2020-12-27,16:43:27,26901.3
44,2020-12-27,16:43:28,26941.6
45,2020-12-27,16:43:29,26901.3
46,2020-12-27,16:43:30,26901.3
47,2020-12-27,16:43:31,26923.7
48,2020-12-27,16:43:32,26901.3
49,2020-12-27,16:43:33,26901.3
50,2020-12-27,16:43:34,26944.7
51,2020-12-27,16:43:35,26901.3
52,2020-12-27,16:43:36,26901.3
53,2020-12-27,16:43:37,26944.7
54,2020-12-27,16:43:38,26941.6
55,2020-12-27,16:43:39,26949.3
56,2020-12-27,16:43:40,26923.7
57,2020-12-27,16:43:41,26949.3
58,2020-12-27,16:43:42,26923.7
59,2020-12-27,16:43:43,26949.3
60,2020-12-27,16:43:44,26941.6
61,2020-12-27,16:43:45,26941.6
62,2020-12-27,16:43:46,26944.7
63,2020-12-27,16:43:47,26949.3
64,2020-12-27,16:43:48,26944.7
65,2020-12-27,16:43:51,26944.7
66,2020-12-27,16:43:52,26944.7
67,2020-12-27,16:43:53,26942.6
68,2020-12-27,16:43:54,26945.7
69,2020-12-27,16:43:55,26944.7
70,2020-12-27,16:43:56,26945.7
71,2020-12-27,16:43:57,26949.3
72,2020-12-27,16:43:58,26942.6
73,2020-12-27,16:43:59,26949.3
74,2020-12-27,16:44:00,26944.7
75,2020-12-27,16:44:01,26949.3
76,2020-12-27,16:44:02,26949.3
77,2020-12-27,16:44:03,26931.1
78,2020-12-27,16:44:04,26949.3
79,2020-12-27,16:44:05,26949.3
80,2020-12-27,16:44:06,26949.3
81,2020-12-27,16:44:07,26960.2
82,2020-12-27,16:44:08,26931.1
83,2020-12-27,16:44:10,26960.2
84,2020-12-27,16:44:11,26931.1
